d,null_tall,tall_pos,not_tall,very_tall,not_very_tall_lit,not_very_tall_exh
63,-4.6136420656879205,-23.244373753193965,-4.118570691427167,-24.126515624274038,-4.283773407178125,-22.561408534302423
63.06666666666666,-4.555539415578942,-22.903428252145172,-4.061675749045313,-23.781176568934196,-4.226484796684136,-22.2228736435177
63.13333333333333,-4.498064902227893,-22.56534977414372,-4.005435356054688,-23.438679477152164,-4.169840704882743,-21.88720005684398
63.2,-4.441218525634778,-22.23016598761328,-3.9498502432417824,-23.09902520320947,-4.113840846613308,-21.55443620990731
63.266666666666666,-4.385000285799603,-21.897817298478788,-3.8949211659950502,-22.762214538855332,-4.0584870660418675,-21.224561568724468
63.333333333333336,-4.329410182722358,-21.568332884280967,-3.840648905289266,-22.4282447751591,-4.003778432012042,-20.897577633151883
63.4,-4.274448216403055,-21.241680747680512,-3.787034268713115,-22.097102700269247,-3.949716736842678,-20.573478189766746
63.46666666666667,-4.220114386841679,-20.91792255896581,-3.7340780915406535,-21.768813491416548,-3.8963013271550135,-20.252276997245172
63.53333333333333,-4.166408694038246,-20.59702636423426,-3.681781237848294,-21.443360673307627,-3.843533616781974,-19.933952262195355
63.6,-4.113331137992741,-20.278991351504345,-3.6301446016794516,-21.120750354557508,-3.7914136320720884,-19.6184905232371
63.666666666666664,-4.0608817187051764,-19.963816690125505,-3.579169108260474,-20.800974221845433,-3.7399418901939434,-19.305384259873982
63.733333333333334,-4.009060436175542,-19.651501530169895,-3.5288561620719596,-20.484033575286297,-3.6891189246862,-18.995721604074046
63.8,-3.9578672904038474,-19.342045001798976,-3.479200273547522,-20.169927882884693,-3.6389450985890996,-18.6889418325389
63.86666666666667,-3.9073022813900824,-19.03544621460246,-3.4302143225654795,-19.85865360002564,-3.5894213587992265,-18.38554883593218
63.93333333333334,-3.8573654091342524,-18.731704256908635,-3.3818935444733818,-19.550215508019928,-3.5405480995006515,-18.084530687307
64,-3.808056673636363,-18.43081819506264,-3.334239038515064,-19.244605337634265,-3.492326471482316,-17.786386909416507
64.06666666666666,-3.759376074896408,-18.132783759367157,-3.2872519435626257,-18.941834729801517,-3.4447560034028575,-17.491123283768168
64.13333333333333,-3.711323612914388,-17.837606523199565,-3.240933439790713,-18.641878323789584,-3.3978378918852727,-17.198740802812328
64.2,-3.6638992876902927,-17.545282250542108,-3.1952847504377972,-18.344754201957368,-3.3515728030835397,-16.90923817640041
64.26666666666667,-3.617103099224142,-17.255809911947125,-3.1503075926117394,-18.05045602795622,-3.30596142493824,-16.62261023192951
64.33333333333333,-3.5709350475159267,-16.969188451853917,-3.106002330913164,-17.75898191937594,-3.261004467952653,-16.33887028795763
64.4,-3.5253951325656367,-16.685416787663723,-3.062370852458246,-17.470327391440954,-3.2167026659882763,-16.057991549634973
64.46666666666667,-3.480483354373291,-16.404399045292962,-3.019414550644923,-17.18448845209343,-3.1730567770776474,-15.780004047100217
64.53333333333333,-3.4361997129388806,-16.126323545667113,-2.9771348933088713,-16.901477324196684,-3.130067584256059,-15.504892602779979
64.6,-3.392544208262405,-15.851092428770787,-2.9355334034926237,-16.621286322344606,-3.0877363733881533,-15.232673468244938
64.66666666666667,-3.349516840343855,-15.578708069326073,-2.8946116616808566,-16.34391226186544,-3.0460627015838853,-14.963313267492188
64.73333333333333,-3.307117609183249,-15.30916814550197,-2.8543713081445503,-16.06933178006536,-3.005048556350807,-14.696833988693305
64.8,-3.2653465147805782,-15.042477043858897,-2.81481562142861,-15.797588339854599,-2.964694507071884,-14.43317639695043
64.86666666666666,-3.224203557135842,-14.778621096635664,-2.7759432209609662,-15.528682972775881,-2.925001475441616,-14.172443027030244
64.93333333333334,-3.183688736249032,-14.517606590988835,-2.737757517757206,-15.26255663372202,-2.885970395067003,-13.91462619776474
65,-3.1438020521201655,-14.25953262076794,-2.7002604150394376,-14.999247689480727,-2.8476022879092526,-13.659670795644235
65.06666666666666,-3.1045435047492345,-14.004192612948536,-2.6634538052769217,-14.738741760669745,-2.8098981531067277,-13.407518598644932
65.13333333333333,-3.0659130941362376,-13.751688366736513,-2.627339911445941,-14.481043007049614,-2.772859042843228,-13.1582720965212
65.2,-3.027910820281168,-13.50201838282393,-2.5919207809380236,-14.226141083383554,-2.7364859916105595,-12.911895441233913
65.26666666666667,-2.9905366831840414,-13.255181117394482,-2.55719862894515,-13.974030641315387,-2.700780120367889,-12.668399642610735
65.33333333333333,-2.9537906828448497,-13.011174980251068,-2.52317743963149,-13.72473337475318,-2.6657427220221392,-12.42775954310381
65.4,-2.917672819263585,-12.769998332898648,-2.489856225066762,-13.478238791856512,-2.631374789579946,-12.189988006928495
65.46666666666667,-2.882183092440263,-12.531649486574178,-2.4572391678570855,-13.23453076222467,-2.5976779386783373,-11.955081073662678
65.53333333333333,-2.847321502374876,-12.296126700098126,-2.4253288543622595,-12.993620928843917,-2.5646531709227403,-11.723040285370159
65.6,-2.8130880490674235,-12.063428177456261,-2.394127776667754,-12.755505950909175,-2.53230186660833,-11.49385263390667
65.66666666666667,-2.7794827325178995,-11.83355031042772,-2.3636410595605963,-12.520180259697732,-2.500625330991515,-11.26752225757421
65.73333333333333,-2.746505552726317,-11.606494718064177,-2.3338678071277066,-12.287638935619684,-2.4696251204080055,-11.04406913956193
65.8,-2.7141565096926694,-11.382257645382532,-2.304812837691222,-12.057883901355277,-2.4393027533294207,-10.823477406407465
65.86666666666666,-2.6824356034169567,-11.160837049880659,-2.27647905707141,-11.830912307696655,-2.40965947674876,-10.605744812363275
65.93333333333334,-2.6513428338991725,-10.94223082025311,-2.2488699417157987,-11.606670895799668,-2.3806970152543965,-10.39087146006883
66,-2.62087820113933,-10.726425771584122,-2.2219856386433183,-11.385264862607386,-2.352416683113225,-10.178839380845822
66.06666666666666,-2.591041705137422,-10.51344303931517,-2.195837561746387,-11.166671397077527,-2.3248207725265657,-9.969671765170238
66.13333333333333,-2.561833345893449,-10.303267855656962,-2.17042304823496,-10.950801773873078,-2.2979078555124834,-9.763361534622463
66.2,-2.533253123407405,-10.095778771130096,-2.145747649965324,-10.737701871977382,-2.2716853982426795,-9.5599084612647
66.26666666666667,-2.5053010376793017,-9.89121521889686,-2.12181535141935,-10.527366269706306,-2.2461522770873534,-9.359314130590738
66.33333333333333,-2.4779770887091335,-9.689451717231753,-2.098596424681943,-10.319792677046214,-2.2213106201745423,-9.161561975126274
66.4,-2.4512812764968945,-9.490485574689128,-2.0761975661007086,-10.114914003882442,-2.1971622296577404,-8.966658516945513
66.46666666666667,-2.425213601042596,-9.294411835869862,-2.054506348013814,-9.912927073737716,-2.173709338928522,-8.774600421917619
66.53333333333333,-2.3997740623462325,-9.101028443807937,-2.0335909649318724,-9.713712007648938,-2.150953479291141,-8.585391592574139
66.6,-2.3749626604078036,-8.910089564158852,-2.013450677868687,-9.517067564539309,-2.1288978183016565,-8.399020806582158
66.66666666666667,-2.350779395227305,-8.722630500433933,-1.9940693515975483,-9.323188082365355,-2.107543997938794,-8.215488550842423
66.73333333333333,-2.3272242668047456,-8.537603468592186,-1.9754635763188524,-9.132203386215357,-2.0869010763260922,-8.034800247323115
66.8,-2.304297275140122,-8.355355518906485,-1.957640710635821,-8.943879477054098,-2.066947853324937,-7.856948771919317
66.86666666666666,-2.2819984202334327,-8.175883187910348,-1.940603122651283,-8.758292858127511,-2.0477130366071346,-7.681993460002441
66.93333333333334,-2.260327702084674,-7.999181108452659,-1.9243624600183584,-8.575439479257227,-2.0291895879476316,-7.5097533214551575
67,-2.2392851206938547,-7.825248174916106,-1.9089165086463773,-8.395312933109642,-2.01138380951922,-7.34039933419476
67.06666666666666,-2.2188706760609707,-7.654080412830571,-1.8942754785972866,-8.217906863860755,-1.9942908394829353,-7.173879630807979
67.13333333333333,-2.1990843681860213,-7.485662124487457,-1.8804467392735784,-8.043220361346782,-1.9779180947303676,-7.010185789142039
67.2,-2.1799261970690025,-7.32001063604213,-1.8674529210488482,-7.871251828608861,-1.9622671550889417,-6.849312212771955
67.26666666666667,-2.1613961627099227,-7.157110945342749,-1.855252426751351,-7.701990310085581,-1.9473424413289282,-6.6912353021490265
67.33333333333333,-2.143494265108778,-6.996958518427044,-1.8439127259468722,-7.535437149020451,-1.9331439838600313,-6.536024099162841
67.4,-2.1262205042655644,-6.839548640574569,-1.8334037948928112,-7.371580286657229,-1.9196706512286446,-6.383602785423563
67.46666666666667,-2.10957488018029,-6.6848723527896095,-1.8237427250137004,-7.210419156387342,-1.9069370721846037,-6.234001064935915
67.53333333333333,-2.09355739285295,-6.532784602150329,-1.8149241731795915,-7.0519439240910025,-1.8949387637394552,-6.087199399380139
67.6,-2.0781680422835445,-6.383720672124024,-1.8069850138754289,-6.8961509737958115,-1.8836830024580575,-5.943202360412759
67.66666666666667,-2.063406828472071,-6.237228724472023,-1.7999197933710394,-6.743036275710053,-1.8731711502856192,-5.802006450263504
67.73333333333333,-2.0492737514185357,-6.093457540415535,-1.7937367937789914,-6.592589064564073,-1.8634064279993174,-5.6636091637860035
67.8,-2.035768811122935,-5.952392850428937,-1.7884392269630616,-6.44480680445133,-1.8543983304162739,-5.528004085990449
67.86666666666667,-2.022892007585267,-5.814030182891038,-1.7840532902310153,-6.299687540183314,-1.8461327983537739,-5.395192428116802
67.93333333333334,-2.0106433408055366,-5.6783662517104005,-1.7805802845136014,-6.157226672760065,-1.8386312477687248,-5.265158759670274
68,-1.9990228107837409,-5.5453927006453645,-1.7780307587197022,-6.017405453390587,-1.8318914325566262,-5.137909811245565
68.06666666666666,-1.9880304175198802,-5.415103708611766,-1.7764154882730785,-5.880164571057308,-1.8259169493031273,-5.013435705654232
68.13333333333333,-1.977666161013954,-5.287489496606066,-1.7757443241591402,-5.745670926827276,-1.820714359419171,-4.89174848853079
